ID,SMILES,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,t-SNE-1,t-SNE-2,UMAP-1,UMAP-2,PC-1(6%),PC-2(4%),FDA,COCONUT,Fragments
V32_cov,C1COCCN1C(=O)C2=CC=C(C=C2)C=O,219.089543276,3,0,0.9715000000000003,46.61,0.3333333333333333,2,4,2,7.7221794,49.167114,8.39947,6.7670064,-1.3381056365657482,0.7452601523741951,0,0,Frag103
V2X_cov,CC1=CC(=CC=C1)[C@H]2C[C@@H]2C(=O)NNC(=O)CCl,266.0822054,2,2,1.4847199999999998,58.2,0.38461538461538464,2,5,3,32.316505,-0.6764608,6.333696,7.0151525,-0.4498252907404672,0.3403504820618826,0,0,Frag104
V2W_cov,COC1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)C=O,269.10519334,3,1,2.4377000000000004,55.4,0.125,2,4,5,5.723975,45.277058,8.511955,5.4439063,-0.6172241830987457,0.06846316850764013,0,0,0
V2T_cov,CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)C=O,229.085126592,4,1,1.4848999999999999,63.99,0.08333333333333333,2,5,3,3.9206893,47.349716,8.74915,5.386689,-1.1062887775195718,0.592418319728148,0,0,0
V2Q_cov,COC1CN(C1)C(=O)C2=CC=C(C=C2)C=O,219.089543276,3,0,0.9699,46.61,0.3333333333333333,2,4,3,6.405326,49.84276,8.404456,7.1935415,-0.7173222001693795,0.9533982247735676,0,0,Frag105
V2N_cov,CC1=NC2=C(N1C3=CC=C(C=C3)C=O)C=C(C=C2)OC,266.105527688,4,0,3.1550200000000013,44.120000000000005,0.125,3,4,3,-5.2095966,51.84287,9.3039465,4.2690687,-1.623569085126374,0.8732431093918986,0,0,0
V2K_cov,CC1=NC2=C(N1C3=CC=C(C=C3)C=O)C=CC(=C2)OC,266.105527688,4,0,3.1550200000000013,44.120000000000005,0.125,3,4,3,-5.2775016,51.820755,9.2243395,4.222029,-1.623869497441409,0.8721375438145269,0,0,0
V2E_cov,C1COCCN1C2=C(C=CC(=C2)C=O)[N+](=O)[O-],236.079706864,5,0,1.2439,72.67999999999999,0.36363636363636365,2,6,3,-2.7111719,47.823128,9.144593,3.8011534,-1.6225145307995446,0.8235455007180583,0,0,0
V1V_cov,CCC[C@@H](C(=O)C(=O)NCC1=CC=CC=N1)NC(=O)[C@H](CC(C)C)NC(=O)OC2=CC=CC=C2,468.23727012399996,6,3,2.7551000000000005,126.49,0.4,2,9,12,7.672977,-52.999767,1.326118,6.202673,1.6931235153025066,-1.189415819437429,0,0,0
V1Q_cov,CN1C=CC(=N1)NS(=O)(=O)C2=CC=C(C=C2)C=O,265.052112212,5,1,1.0334,81.06,0.09090909090909091,2,7,4,3.684843,47.558018,8.934165,5.3167872,-1.303193454291294,0.4385753089216077,0,0,0
V1K_cov,COC1=CC2=C(C=C1)N=C(N2S(=O)(=O)C3=CC=C(C=C3)C=O)Cl,350.012805512,6,0,2.7478000000000016,78.26,0.06666666666666667,3,8,4,-4.0043116,52.02687,9.39733,4.524436,-1.6936069908643698,0.8066432127642037,0,0,0
V1H_cov,COC1CN(C1)S(=O)(=O)C2=CC=C(C=C2)C=O,255.056528896,4,0,0.5184000000000002,63.68,0.36363636363636365,2,6,4,3.6539164,52.29777,8.625713,8.510469,-0.9690605540032233,0.8210753296411128,0,0,0
V1E_cov,CN(C)S(=O)(=O)C1=CC=C(C=C1)C=O,213.045964212,3,0,0.7494000000000003,54.45,0.2222222222222222,1,5,3,1.2194381,47.456253,9.067348,5.0068884,-1.556391074681206,-0.13847097712287368,0,0,Frag106
V0W_cov,CN1CCCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C=O,282.103813436,4,0,0.8252999999999995,57.690000000000005,0.46153846153846156,2,6,3,4.9068327,54.487892,8.608014,8.784765,-1.3066796230906703,0.7327091727655622,0,0,0
V0T_cov,C1CN(CCC1O)S(=O)(=O)C2=CC=C(C=C2)C=O,269.07217896000003,4,1,0.6444999999999999,74.68,0.4166666666666667,2,6,3,5.0389624,52.9817,8.661131,8.676704,-1.1872793011408935,0.722171116484887,0,0,0
V0Q_cov,CCN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C=O,282.103813436,4,0,0.8252999999999995,57.690000000000005,0.46153846153846156,2,6,4,5.652736,55.013996,8.594208,8.785365,-1.0872384357304412,0.39840079158995295,0,0,0
V08_cov,CC(C)[C@H]1[C@@H](OC1=O)C(=O)O,158.0579088,3,1,0.2685999999999999,63.60000000000001,0.7142857142857143,1,4,2,-15.797937,-20.622053,4.4852705,3.9525871,-0.5242331337995435,-1.3135444477159488,0,0,0
UZY_cov,CS(=O)(=O)SCCCCCC(=O)NO,241.04424996,5,2,0.7449999999999999,83.47,0.8571428571428571,0,7,7,-31.967817,-12.292736,4.4301515,4.2062416,-0.871694550180135,-1.7409483266753258,0,0,0
UZV_cov,CS(=O)(=O)SCCCCC(=O)NO,227.028599896,5,2,0.3549000000000001,83.47,0.8333333333333334,0,7,6,-31.95435,-12.2960825,4.5891595,4.243387,-0.8582876602314835,-1.705516453509549,0,0,0
UZS_cov,CS(=O)(=O)SCCCCCCC(=O)NO,255.059900024,5,2,1.1350999999999998,83.47,0.875,0,7,8,-31.968342,-12.292325,4.493554,4.181246,-0.871694550180135,-1.7409483266753258,0,0,0
UZM_cov,CS(=O)(=O)SCCCNC(=O)C[C@@H](CC(=O)NO)C1=C(C=C(C=C1)Cl)Cl,442.01906909999997,6,3,2.5617,112.57000000000001,0.4666666666666667,1,11,10,-32.51687,-13.023338,4.537634,4.574019,-0.4611263905092882,-0.9248082421044803,0,0,0
UXS_cov,CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C=O)NC(=O)C,401.2348276,5,3,1.504900000000001,104.37,0.7894736842105263,0,8,13,-19.173952,-48.063885,1.6731346,7.677289,1.8743938283434138,-2.1053753261729486,0,0,0
UXQ_cov,C[C@@H](C(=O)NC(CC1=CC=C(C=C1)CNC(=O)CCl)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)C(COP(=O)(O)O)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C,1338.5637121579998,18,18,-6.584100000000016,577.56,0.5740740740740741,3,38,39,-15.164977,-43.48943,2.88112,8.165726,3.0377221440294795,-0.9861360229250649,0,0,0
UXN_cov,CN(C1CCOCC1)S(=O)(=O)C2=CC=C(C=C2)C=O,283.08782902400003,4,0,1.2986,63.68,0.46153846153846156,2,6,4,1.8484235,50.34586,8.622982,8.352213,-0.9373341795142285,0.6884827312586701,0,0,0
UWQ_cov,COC1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C=O,283.08782902400003,4,0,1.2986,63.68,0.46153846153846156,2,6,4,4.07339,52.376743,8.695182,8.6778,-0.8987543751067137,0.8518007565570778,0,0,0
UWO_cov,COC(=O)C1=CC2=C(C=C1)N([C@@H](C3=C(N2)CCCC3=O)C4=CC=C(C=C4)C(F)(F)F)C(=O)CCl,492.10636946,5,1,5.237700000000004,75.71000000000001,0.2916666666666667,4,10,3,36.474186,3.040918,6.892706,7.414819,-0.15838241961050953,1.074129126791817,0,0,0
UWK_cov,CO[C@@H]1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C=O,283.08782902400003,4,0,1.2986,63.68,0.46153846153846156,2,6,4,3.9425972,52.150467,8.50546,8.563075,-0.7711941159580967,1.193144479910505,0,0,0
UWH_cov,COCCN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C=O,312.11437811999997,5,0,0.4518000000000004,66.92,0.5,2,7,6,6.195202,55.038834,8.520649,8.656418,-1.0458101412037788,0.4688587820961972,0,0,0
UVZ_cov,C1CC2=C(C=CC(=C2)Cl)N(C1)S(=O)(=O)C3=CC=C(C=C3)C=O,335.03829198799997,3,0,3.2940000000000014,54.45,0.1875,3,6,3,1.3387005,56.916653,9.1275,9.275053,-1.5617162548110315,0.9984567484448748,0,0,0
UVT_cov,C[C@H]1CCCN1S(=O)(=O)C2=CC=C(C=C2)C=O,253.07726434,3,0,1.6721000000000001,54.45,0.4166666666666667,2,5,3,2.5773108,53.393574,8.615171,8.7294655,-0.7609286910701155,1.057284329661924,0,0,Frag107
UVQ_cov,C1CC2=C(C=CC(=C2)F)N(C1)S(=O)(=O)C3=CC=C(C=C3)C=O,319.06784252799997,3,0,2.779700000000001,54.45,0.1875,3,6,3,1.3300204,56.88043,8.976429,9.346077,-1.5522011861884943,0.9763935490230821,0,0,0
UVN_cov,C1CN(CC(=O)N1)S(=O)(=O)C2=CC=C(C=C2)C=O,268.05177786400003,4,1,-0.3804000000000003,83.55000000000001,0.2727272727272727,2,7,3,3.7027373,55.46347,8.783484,8.909157,-0.9658765787706793,0.9680179537399606,0,0,0
UVK_cov,C1COC2=C(N1S(=O)(=O)C3=CC=C(C=C3)C=O)C=C(C=C2)F,321.047107084,4,0,2.2259,63.68,0.13333333333333333,3,7,3,3.0994136,57.879574,9.016675,9.063362,-1.6129572652587088,0.8840409251478822,0,0,0
UVH_cov,CC(C)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C=O,296.1194635,4,0,1.2138,57.690000000000005,0.5,2,6,4,4.9464235,55.349297,8.522635,8.92357,-0.7327164382433315,0.3061588846242452,0,0,0
UVE_cov,C1COC2=CC=CC=C2N1S(=O)(=O)C3=CC=C(C=C3)C=O,303.056528896,4,0,2.0868,63.68,0.13333333333333333,3,6,3,2.9061904,57.70343,8.935953,9.080581,-1.4964845926212742,0.6625481987878142,0,0,0
UVB_cov,C1C[C@@H](CN(C1)S(=O)(=O)C2=CC=C(C=C2)C=O)O,269.07217896000003,4,1,0.6445000000000003,74.68,0.4166666666666667,2,6,3,5.279435,52.673523,8.5764065,8.378544,-1.0943327101137232,0.9024468869268949,0,0,0
UUW_cov,CC(C)C[C@@H](C(=O)NC/C=C/C(=O)N(CC1=CC=CC=C1)CC2=CC=CC=C2)NC(=O)CCCCN3C4=CC=CC=C4C(C3=CC=CC=CC5=[N+](C6=CC=CC=C6C5(C)C)C)(C)C,844.5160173920901,4,2,10.089299999999998,84.76,0.34545454545454546,6,8,19,-42.779533,-45.42476,1.8054099,5.461646,1.5264824325007509,-0.633658021874686,0,0,0
UUK_cov,CC(C)C[C@@H](C(=O)NCC=CC(=O)N(CC1=CC=CC=C1)CC2=CC=CC=C2)NC(=O)OC(C)(C)C,493.294056728,4,2,4.827200000000004,87.74000000000001,0.41379310344827586,2,7,11,2.5428631,-50.548515,1.363865,6.127954,2.0305924084132987,-0.9353609497493877,0,0,0
UUB_cov,CN(C)CC=CC(=O)NC1=CC=C(C=C1)O[C@@H]2CCC[C@H](C2)NC3=NC=C(C(=N3)C4=CNC5=CC=CC=C54)Cl,544.2353519760001,6,3,6.136700000000006,95.17000000000002,0.3,5,9,9,57.762447,28.482775,8.21122,6.9122066,0.03532024810636126,2.262367386536714,0,0,0
UTU_cov,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCC(C)(C)SC2=CC=CC(=C2)F,495.22032040799996,6,3,3.0472,113.60000000000001,0.5833333333333334,2,10,12,9.839195,-88.9357,-1.4974324,7.6339808,4.64385710092408,0.836063080399878,0,0,0
UTL_cov,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OCC(C)(C)SC2=CC=C(C=C2)F,495.22032040799996,6,3,3.0472,113.60000000000001,0.5833333333333334,2,10,12,9.946639,-89.26919,-1.4288536,7.5026574,4.713731068664876,0.6100042362833215,0,0,0
UT8_cov,COC1=CC2=C(C=C1)N(CCO2)S(=O)(=O)C3=CC=C(C=C3)C=O,333.06709358,5,0,2.0953999999999997,72.91,0.1875,3,7,4,2.2513645,58.307648,9.184349,9.264259,-1.3246678017009028,0.9488066436649151,0,0,0
USZ_cov,CC(C)(C)C1=CC=C(C=C1)N([C@H](C2=CN=CC=C2)C(=O)NCCC3=CC(=CC=C3)F)C(=O)C=C,459.23220541999996,3,1,5.137400000000005,62.300000000000004,0.25,3,6,8,70.096344,-20.605719,12.200339,4.0632124,-0.17394759288913458,0.6699502502778121,0,0,0
